Unnamed: 0,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
1925,PORSCHE Carrera Coupe,3.6,6,Man-6,2WD,Gasoline,small car,6,18.0,26.0,21.0,6,no
1928,PORSCHE Carrera Targa,3.6,6,Auto-L5,4WD,Gasoline,small car,6,17.0,24.0,19.0,5,no
1929,PORSCHE Carrera Targa,3.6,6,Man-6,4WD,Gasoline,small car,6,17.0,25.0,20.0,6,no
1932,PORSCHE Cayenne,3.6,6,Man-6,4WD,Gasoline,SUV,6,14.0,20.0,16.0,4,no
1933,PORSCHE Cayenne,3.6,6,Auto-L6,4WD,Gasoline,SUV,6,14.0,20.0,16.0,4,no
1936,PORSCHE Cayenne S,4.8,8,Auto-L6,4WD,Gasoline,SUV,7,13.0,19.0,15.0,3,no
1940,PORSCHE Cayenne Turbo,4.8,8,Auto-L6,4WD,Gasoline,SUV,6,12.0,19.0,14.0,2,no
1942,PORSCHE Cayman,2.7,6,Auto-L5,2WD,Gasoline,small car,7,19.0,26.0,21.0,6,yes
1943,PORSCHE Cayman,2.7,6,Man-6,2WD,Gasoline,small car,7,19.0,28.0,22.0,6,yes
1944,PORSCHE Cayman,2.7,6,Man-5,2WD,Gasoline,small car,7,20.0,29.0,23.0,7,yes
1948,PORSCHE Cayman S,3.4,6,Auto-L5,2WD,Gasoline,small car,7,18.0,25.0,21.0,6,yes
1949,PORSCHE Cayman S,3.4,6,Man-6,2WD,Gasoline,small car,7,18.0,26.0,21.0,6,yes
1954,ROLLS-ROYCE Phantom,6.7,12,Auto-S6,2WD,Gasoline,midsize car,6,13.0,19.0,15.0,3,no
1955,ROLLS-ROYCE Phantom,6.7,12,Auto-S6,2WD,Gasoline,small car,6,13.0,19.0,15.0,3,no
1958,ROUSH Stage 3 F150,5.4,8,Auto-L4,2WD,Gasoline,pickup,7,11.0,15.0,13.0,1,no
1959,ROUSH Stage 3 F150,5.4,8,Auto-L4,4WD,Gasoline,pickup,7,11.0,15.0,13.0,1,no
1960,ROUSH Stage 3 Mustang,4.6,8,Auto-L5,2WD,Gasoline,small car,7,14.0,20.0,16.0,4,no
1961,ROUSH Stage 3 Mustang,4.6,8,Man-5,2WD,Gasoline,small car,7,15.0,20.0,17.0,4,no
1966,SAAB 9-3 Convertible,2.0,4,Auto-S5,2WD,Gasoline,small car,6,18.0,24.0,20.0,6,no
1967,SAAB 9-3 Convertible,2.0,4,Man-6,2WD,Gasoline,small car,6,18.0,27.0,22.0,6,no
1970,SAAB 9-3 Convertible,2.8,6,Auto-S6,2WD,Gasoline,small car,6,15.0,24.0,18.0,5,no
1971,SAAB 9-3 Convertible,2.8,6,Man-6,2WD,Gasoline,small car,6,16.0,26.0,19.0,5,no
1974,SAAB 9-3 Sport Sedan,2.0,4,Auto-S5,2WD,Gasoline,small car,6,19.0,26.0,21.0,6,no
1975,SAAB 9-3 Sport Sedan,2.0,4,Man-6,2WD,Gasoline,small car,6,19.0,29.0,23.0,7,yes
1978,SAAB 9-3 Sport Sedan,2.8,6,Auto-S6,2WD,Gasoline,small car,6,15.0,24.0,18.0,5,no
1979,SAAB 9-3 Sport Sedan,2.8,6,Man-6,2WD,Gasoline,small car,6,16.0,26.0,19.0,5,no
1982,SAAB 9-3 Sportcombi,2.0,4,Auto-S5,2WD,Gasoline,station wagon,6,18.0,24.0,20.0,6,no
1983,SAAB 9-3 Sportcombi,2.0,4,Man-6,2WD,Gasoline,station wagon,6,19.0,29.0,23.0,7,yes
1986,SAAB 9-3 Sportcombi,2.8,6,Auto-S6,2WD,Gasoline,station wagon,6,15.0,24.0,18.0,5,no
1987,SAAB 9-3 Sportcombi,2.8,6,Man-6,2WD,Gasoline,station wagon,6,16.0,26.0,19.0,5,no
1990,SAAB 9-5,2.3,4,Auto-S5,2WD,Gasoline,midsize car,6,17.0,26.0,20.0,6,no
1991,SAAB 9-5,2.3,4,Man-5,2WD,Gasoline,midsize car,6,18.0,28.0,21.0,6,no
1994,SAAB 9-5 Sportcombi,2.3,4,Auto-S5,2WD,Gasoline,station wagon,6,17.0,26.0,20.0,6,no
1995,SAAB 9-5 Sportcombi,2.3,4,Man-5,2WD,Gasoline,station wagon,6,18.0,28.0,21.0,6,no
1997,SAAB 9-7X,5.3,8,Auto-L4,4WD,Gasoline,SUV,6,13.0,19.0,16.0,4,no
1998,SAAB 9-7X,6.0,8,Auto-L4,4WD,Gasoline,SUV,6,12.0,16.0,13.0,1,no
2003,SALEEN S281,5.0,8,Man-6,2WD,Gasoline,small car,6,12.0,18.0,14.0,2,no
2004,SALEEN S281,5.0,8,Man-6,2WD,Gasoline,small car,6,12.0,18.0,14.0,2,no
2005,SATURN Aura,3.5,6,Auto-L4,2WD,Gasoline,midsize car,7,18.0,29.0,22.0,6,yes
2007,SATURN Aura,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6,22.0,30.0,25.0,7,yes
2010,SATURN Aura,3.6,6,Auto-S6,2WD,Gasoline,midsize car,6,17.0,26.0,20.0,6,no
2012,SATURN Aura Hybrid,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6,24.0,32.0,27.0,8,yes
2015,SATURN Outlook,3.6,6,Auto-L6,2WD,Gasoline,SUV,6,16.0,24.0,19.0,5,no
2016,SATURN Outlook,3.6,6,Auto-L6,4WD,Gasoline,SUV,6,16.0,22.0,18.0,5,no
2019,SATURN Sky,2.0,4,Auto-L5,2WD,Gasoline,small car,6,19.0,26.0,21.0,6,no
2020,SATURN Sky,2.0,4,Man-5,2WD,Gasoline,small car,6,19.0,28.0,22.0,6,no
2023,SATURN Sky,2.4,4,Auto-L5,2WD,Gasoline,small car,6,19.0,24.0,21.0,6,no
2024,SATURN Sky,2.4,4,Man-5,2WD,Gasoline,small car,6,19.0,25.0,21.0,6,no
2028,SATURN Vue,3.5,6,Auto-L6,4WD,Gasoline,SUV,6,15.0,22.0,17.0,4,no
2033,SATURN Vue,3.6,6,Auto-L6,2WD,Gasoline,SUV,6,16.0,23.0,19.0,5,no
2034,SATURN Vue,3.6,6,Auto-S6,2WD,Gasoline,SUV,6,16.0,24.0,19.0,5,no
2035,SATURN Vue,3.6,6,Auto-L6,4WD,Gasoline,SUV,6,16.0,22.0,18.0,5,no
2036,SATURN Vue,3.6,6,Auto-S6,4WD,Gasoline,SUV,6,16.0,22.0,18.0,5,no
2039,SHELBY Mustang GT,4.6,8,Man-5,2WD,Gasoline,small car,6,15.0,22.0,17.0,4,no
2040,SUBARU Forester,2.5,4,Auto-L4,4WD,Gasoline,SUV,9.5,20.0,26.0,22.0,6,yes
2041,SUBARU Forester,2.5,4,Man-5,4WD,Gasoline,SUV,9.5,20.0,27.0,22.0,6,yes
2048,SUBARU Forester,2.5,4,Auto-L4,4WD,Gasoline,SUV,6,18.0,23.0,20.0,6,no
