,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
95,BMW 230i Coupe,2.0,4.0,Man-6,2WD,Gasoline,FA,small car,7,21,32,25,5,No
96,BMW 230i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,small car,7,24,35,28,6,No
97,BMW 230i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,small car,7,24,35,28,6,No
98,BMW 230i xDrive Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,small car,7,23,33,27,6,No
99,BMW 230i xDrive Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,small car,7,23,33,27,6,No
100,BMW 230i xDrive Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,small car,7,24,33,27,6,No
101,BMW 230i xDrive Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,small car,7,24,33,27,6,No
102,BMW 320i,2.0,4.0,Man-6,2WD,Gasoline,FA,small car,3,23,35,27,6,No
103,BMW 320i,2.0,4.0,Man-6,2WD,Gasoline,CA,small car,3,23,35,27,6,No
104,BMW 320i,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,24,35,28,6,No
105,BMW 320i,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,24,35,28,6,No
106,BMW 320i,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,23,34,27,6,No
107,BMW 320i,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,23,34,27,6,No
108,BMW 330e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,CA,small car,3,28/66,34/78,30/71,10,Yes
109,BMW 330e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,FA,small car,3,28/66,34/78,30/71,10,Yes
110,BMW 330i,2.0,4.0,Man-6,2WD,Gasoline,CA,small car,7,21,32,25,5,No
111,BMW 330i,2.0,4.0,Man-6,2WD,Gasoline,FA,small car,7,21,32,25,5,No
112,BMW 330i,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,small car,7,24,34,27,6,No
113,BMW 330i,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,small car,7,24,34,27,6,No
114,BMW 330i,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,small car,7,23,33,27,6,No
115,BMW 330i,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,small car,7,23,33,27,6,No
116,BMW 330i Gran Turismo,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,large car,7,23,33,27,6,No
117,BMW 330i Gran Turismo,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,large car,7,23,33,27,6,No
118,BMW 330i Sports Wagon,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,station wagon,7,23,33,27,6,No
119,BMW 330i Sports Wagon,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,station wagon,7,23,33,27,6,No
120,BMW 340i,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,3,19,29,23,5,No
121,BMW 340i,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,3,19,29,23,5,No
122,BMW 340i,3.0,6.0,Man-6,4WD,Gasoline,CA,small car,3,19,29,23,5,No
123,BMW 340i,3.0,6.0,Man-6,4WD,Gasoline,FA,small car,3,19,29,23,5,No
124,BMW 340i,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,21,32,25,5,No
125,BMW 340i,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,21,32,25,5,No
126,BMW 340i,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,21,31,25,5,No
127,BMW 340i,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,21,31,25,5,No
128,BMW 340i Gran Turismo,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,large car,3,20,29,23,5,No
129,BMW 340i Gran Turismo,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,large car,3,20,29,23,5,No
130,BMW 430i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,small car,7,24,34,27,6,No
131,BMW 430i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,small car,7,24,34,27,6,No
132,BMW 430i Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,small car,7,22,32,26,5,No
133,BMW 430i Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,small car,7,22,32,26,5,No
134,BMW 430i Coupe,2.0,4.0,Man-6,2WD,Gasoline,CA,small car,7,21,33,25,5,No
135,BMW 430i Coupe,2.0,4.0,Man-6,2WD,Gasoline,FA,small car,7,21,33,25,5,No
136,BMW 430i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,small car,7,24,34,27,6,No
137,BMW 430i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,small car,7,24,34,27,6,No
