Unnamed: 0,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
286,CADILLAC CTS,2.0,4,SemiAuto-8,4WD,Gasoline,CA,midsize car,5,21.0,29.0,24.0,5,No
288,CADILLAC CTS,3.6,6,SemiAuto-8,2WD,Gasoline,CA,midsize car,3,16.0,24.0,19.0,3,No
290,CADILLAC CTS,3.6,6,SemiAuto-8,2WD,Gasoline,CA,midsize car,5,20.0,30.0,24.0,5,No
292,CADILLAC CTS,3.6,6,SemiAuto-8,4WD,Gasoline,CA,midsize car,5,19.0,27.0,22.0,4,No
294,CADILLAC CTS-V,6.2,8,SemiAuto-8,2WD,Gasoline,CA,midsize car,1,14.0,21.0,17.0,3,No
296,CADILLAC Escalade,6.2,8,Auto-10,2WD,Gasoline,CA,standard SUV,3,14.0,23.0,17.0,3,No
298,CADILLAC Escalade,6.2,8,Auto-10,4WD,Gasoline,CA,standard SUV,3,14.0,21.0,17.0,3,No
300,CADILLAC XT5,3.6,6,SemiAuto-8,2WD,Gasoline,CA,small SUV,5,19.0,26.0,22.0,4,No
302,CADILLAC XT5,3.6,6,SemiAuto-8,4WD,Gasoline,CA,small SUV,5,18.0,25.0,21.0,4,No
304,CHEVROLET Camaro,2.0,4,Man-6,2WD,Gasoline,CA,small car,5,20.0,30.0,23.0,5,No
306,CHEVROLET Camaro,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,5,22.0,31.0,25.0,5,No
308,CHEVROLET Camaro,3.6,6,Man-6,2WD,Gasoline,CA,small car,5,16.0,28.0,20.0,4,No
310,CHEVROLET Camaro,3.6,6,SemiAuto-8,2WD,Gasoline,CA,small car,5,19.0,29.0,23.0,5,No
312,CHEVROLET Camaro,6.2,8,Man-6,2WD,Gasoline,CA,small car,1,14.0,20.0,16.0,2,No
314,CHEVROLET Camaro,6.2,8,Man-6,2WD,Gasoline,CA,small car,1,16.0,25.0,19.0,3,No
316,CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,CA,small car,1,13.0,21.0,15.0,2,No
318,CHEVROLET Camaro,6.2,8,SemiAuto-8,2WD,Gasoline,CA,small car,1,17.0,27.0,20.0,4,No
320,CHEVROLET Colorado,2.5,4,Auto-6,2WD,Gasoline,CA,pickup,5,20.0,26.0,22.0,4,No
322,CHEVROLET Colorado,2.5,4,Auto-6,4WD,Gasoline,CA,pickup,5,19.0,24.0,21.0,4,No
324,CHEVROLET Colorado,2.5,4,Man-6,2WD,Gasoline,CA,pickup,5,20.0,26.0,22.0,4,No
326,CHEVROLET Colorado,2.8,4,Auto-6,2WD,Diesel,CA,pickup,3,22.0,30.0,25.0,4,No
328,CHEVROLET Colorado,2.8,4,Auto-6,4WD,Diesel,CA,pickup,3,20.0,28.0,23.0,4,No
330,CHEVROLET Colorado,3.6,6,Auto-8,2WD,Gasoline,CA,pickup,5,18.0,25.0,20.0,4,No
332,CHEVROLET Colorado,3.6,6,Auto-8,2WD,Gasoline,CA,special purpose,5,15.0,15.0,15.0,2,No
334,CHEVROLET Colorado,3.6,6,Auto-8,4WD,Gasoline,CA,pickup,5,17.0,24.0,19.0,3,No
336,CHEVROLET Colorado ZR2,2.8,4,Auto-6,4WD,Diesel,CA,pickup,3,19.0,22.0,20.0,3,No
338,CHEVROLET Colorado ZR2,3.6,6,Auto-8,4WD,Gasoline,CA,pickup,5,16.0,18.0,17.0,3,No
340,CHEVROLET Corvette,6.2,8,Man-7,2WD,Gasoline,CA,small car,1,15.0,22.0,18.0,3,No
341,CHEVROLET Corvette,6.2,8,Man-7,2WD,Gasoline,CA,small car,1,16.0,25.0,19.0,3,No
344,CHEVROLET Corvette,6.2,8,SemiAuto-8,2WD,Gasoline,CA,small car,1,13.0,23.0,16.0,2,No
345,CHEVROLET Corvette,6.2,8,SemiAuto-8,2WD,Gasoline,CA,small car,1,15.0,25.0,18.0,3,No
348,CHEVROLET Cruze,1.4,4,Man-6,2WD,Gasoline,CA,small car,6,27.0,40.0,32.0,7,Yes
350,CHEVROLET Cruze,1.4,4,SemiAuto-6,2WD,Gasoline,CA,small car,6,29.0,40.0,33.0,8,Yes
352,CHEVROLET Cruze,1.6,4,Auto-9,2WD,Diesel,CA,small car,3,31.0,47.0,37.0,7,Yes
354,CHEVROLET Cruze,1.6,4,Man-6,2WD,Diesel,CA,small car,3,30.0,52.0,37.0,7,Yes
356,CHEVROLET Cruze Hatchback,1.4,4,Man-6,2WD,Gasoline,CA,midsize car,6,27.0,38.0,31.0,7,Yes
